201607262					
TV	active	Apstar 6	28638	1 28638U 05012A   16202.45131531 -.00000323  00000-0  00000+0 0  9997	2 28638   0.0217  71.2705 0002985  41.7184 122.1495  1.00272204 66127
TV	active	Spaceway 1	28644	1 28644U 05015A   16202.36530949 -.00000108  00000-0  00000+0 0  9994	2 28644   0.0108 219.7201 0000467 290.1877 177.2521  1.00269986 41223
TV	active	Directv 8	28659	1 28659U 05019A   16200.45611388 -.00000118 +00000-0 +00000-0 0  9991	2 28659 000.0078 060.5705 0003311 060.3474 239.1116 01.00272033040849
TV	active	Galaxy 14	28790	1 28790U 05030A   16201.56358106 +.00000032 +00000-0 +00000-0 0  9993	2 28790 000.0125 037.6790 0002828 076.7840 261.1986 01.00271451040020
TV	active	Anik F1R	28868	1 28868U 05036A   16201.36648105 -.00000078 +00000-0 +00000-0 0  9995	2 28868 000.0200 055.3073 0002642 032.2132 234.6809 01.00271790010219
TV	active	Spaceway 2	28903	1 28903U 05046B   16201.38637912 -.00000131  00000-0  00000+0 0  9991	2 28903   0.0153 230.0087 0000226 195.9046 271.7033  1.00272750 39196
TV	active	Echostar 10	28935	1 28935U 06003A   16202.14058916 -.00000061  00000-0  00000+0 0  9998	2 28935   0.0608 277.0927 0002493 231.8650  89.8084  1.00272681 38229
TV	active	EUTELSAT HOT BIRD 13E 	28946	1 28946U 06007B   16201.13801773  .00000083  00000-0  00000+0 0  9992	2 28946   0.0212 226.5414 0006237 276.1766 217.3222  1.00273413 38004
TV	active	JCSat 5A	29045	1 29045U 06010A   16201.60743789 -.00000333 +00000-0 +00000-0 0  9991	2 29045 000.0139 336.9696 0002008 132.9991 178.5665 01.00270921037483
TV	active	Astra 1KR	29055	1 29055U 06012A   16202.10191843  .00000114  00000-0  00000+0 0  9993	2 29055   0.0735 272.8074 0002854 249.4534 191.9230  1.00271043 37450
TV	active	Eutelsat 113 West A	29162	1 29162U 06020A   16200.48976364 -.00000040  00000-0  00000+0 0  9998	2 29162   0.0369 271.2011 0002671 215.0961 233.7242  1.00271302 37160
TV	active	Galaxy 16	29236	1 29236U 06023A   16202.32707206 -.00000132  00000-0  00000+0 0  9997	2 29236   0.0316 231.7130 0002992 246.6978 198.8584  1.00271401 36979
TV	active	Eutelsat Hot Bird 13B	29270	1 29270U 06032A   16201.73827400  .00000083  00000-0  00000+0 0  9992	2 29270   0.0610   1.0798 0002977 101.7493 113.9226  1.00277442 36565
TV	active	JCSat 3A	29272	1 29272U 06033A   16201.60743789 -.00000350 +00000-0 +00000-0 0  9997	2 29272 000.0255 307.9302 0002234 172.0586 164.5110 01.00270446011442
TV	active	Optus D1	29495	1 29495U 06043B   16201.75818853 -.00000115  00000-0  00000+0 0  9994	2 29495   0.0399 309.7336 0003467 166.8796 254.2999  1.00272060 35855
TV	active	AMC 18	29644	1 29644U 06054B   16202.44310602 -.00000095  00000-0  00000+0 0  9995	2 29644   0.0358 296.3474 0002769 171.3505 245.5124  1.00271387 35273
TV	active	Measat 3	29648	1 29648U 06056A   16201.57421336 -.00000247 +00000-0 +00000-0 0  9991	2 29648 000.0378 144.2249 0003785 339.6977 112.0943 01.00272531014165
TV	active	Anik F3	31102	1 31102U 07009A   16202.38786164 -.00000007  00000-0  00000+0 0  9994	2 31102   0.0153  79.3236 0002395  41.5390 198.6416  1.00272573 34042
TV	active	Galaxy 17	31307	1 31307U 07016B   16202.32212939 -.00000180  00000-0  00000+0 0  9999	2 31307   0.0209  25.6270 0003442  96.8011 201.0561  1.00271362 33785
